,lng,lat,MinMax_PCA_Crime_Labels,Robust_PCA_Crime_Labels,MinMax_PCA_Crimeless_Labels,Robust_PCA_Crimeless_Labels,MinMax_Non_PCA_Crime_Labels,Robust__Non_PCA_Crime_Labels,MinMax_Non_PCA_Crimeless_Labels,Robust__Non_PCA_Crimeless_Labels
5525,-0.0881025971025302,51.4255147032178,1,1,1,2,2,1,0,2
5526,-0.0881057047258662,51.42326515283,1,1,1,2,2,1,0,2
5527,-0.091648646765344,51.4727552613633,1,1,1,2,2,1,0,2
5528,-0.0988740347222704,51.4705057109754,2,1,1,2,1,1,0,2
5529,-0.0952600497851915,51.4727552613633,1,1,1,2,2,1,0,2
5530,-0.098871452805039,51.4727552613633,2,1,1,2,1,1,0,2
5531,-0.109732261591977,51.4435111063209,2,1,1,2,1,1,0,2
5532,-0.116935232990113,51.4637570598118,2,0,0,0,1,0,1,2
5533,-0.106098710137112,51.4682561605876,2,0,1,2,1,0,0,2
5534,-0.134989488386383,51.4615075094239,2,0,1,2,1,0,0,2
5535,-0.0917044044143094,51.4300138039936,1,1,1,2,2,1,0,2
5536,-0.127771932045997,51.4547588582603,2,0,1,2,1,0,0,2
5537,-0.102535668581172,51.42326515283,1,1,1,2,2,1,0,2
5538,-0.109715897843024,51.4615075094239,2,0,1,2,1,0,0,2
5539,-0.106105384908258,51.4615075094239,2,0,1,2,1,0,0,2
5540,-0.131382889538099,51.4525093078724,2,1,1,2,1,1,0,2
5541,-0.0917161253543709,51.4210156024421,1,1,1,2,2,1,0,2
5542,-0.0881119187629396,51.4187660520542,1,1,1,2,2,1,0,2
5543,-0.102492469367917,51.4637570598118,2,0,1,2,1,0,0,2
5544,-0.106103160273466,51.4637570598118,2,0,1,2,1,0,0,2
5545,-0.138596886023362,51.4727552613633,2,1,1,2,1,1,0,2
5546,-0.134984681614778,51.4750048117512,2,0,1,2,1,0,0,2
5547,-0.11695213034014,51.441261555933,2,1,1,2,1,1,0,2
5548,-0.11333761784316,51.4480102070967,2,1,1,2,1,1,0,2
5549,-0.106116503750354,51.4502597574845,2,1,1,2,1,1,0,2
5550,-0.131375059331582,51.4705057109754,2,0,1,2,1,0,0,2
5551,-0.0953151813635513,51.4277642536057,1,1,1,2,2,1,0,2
5552,-0.142220288050366,51.4120174008906,1,1,0,0,2,1,1,2
5553,-0.127760361690444,51.4772543621391,2,0,1,2,1,0,0,2
5554,-0.138609956694769,51.4255147032178,1,1,0,0,2,1,1,2
5555,-0.113305841797943,51.4862525636906,2,0,0,0,1,0,1,0
5556,-0.12056859456147,51.4300138039936,2,1,1,2,1,1,0,2
5557,-0.116958883140648,51.4322633543815,2,1,1,2,1,1,0,2
5558,-0.120564063959071,51.4367624551573,2,1,0,0,1,1,1,2
5559,-0.135005483942996,51.4165165016663,0,1,0,0,0,1,1,2
5560,-0.135006282631503,51.4142669512785,0,1,0,0,0,1,1,2
5561,-0.113324542084564,51.4637570598118,2,0,1,2,1,0,0,2
5562,-0.0988817784623684,51.4637570598118,2,1,0,0,1,1,1,0
5563,-0.102494871973493,51.4615075094239,2,0,0,0,1,0,1,2
5564,-0.102528475719495,51.4300138039936,1,1,1,2,2,1,0,2
5565,-0.0989178760605529,51.4322633543815,1,1,1,2,2,1,0,2
5566,-0.109740437095778,51.4345129047694,2,1,0,0,1,1,1,2
5567,-0.113346950398187,51.4367624551573,2,1,0,2,1,1,1,2
5568,-0.11332641077779,51.4615075094239,2,0,0,0,1,0,1,2
5569,-0.116940304498883,51.4570084086482,2,0,1,2,1,0,0,2
