,hospital_250,train_station_250,bus_station_250,park_250,place_of_worship_250,liquor_store_250,hospital_500,train_station_500,bus_station_500,park_500,place_of_worship_500,liquor_store_500,hospital_750,train_station_750,bus_station_750,park_750,place_of_worship_750,liquor_store_750,lng,lat
85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122257213556852,51.385002033488
86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.100630900967207,51.385002033488
87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.107839671830422,51.385002033488
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0934221301039917,51.385002033488
89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0862133592407767,51.385002033488
90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790045883775616,51.385002033488
91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645870466511316,51.385002033488
92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717958175143466,51.385002033488
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573782757879165,51.385002033488
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0501695049247015,51.385002033488
95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429607340614865,51.385002033488
96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0357519631982715,51.385002033488
97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.093415396994216,51.3895011342637
98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129469172960854,51.3805029327122
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122261110662258,51.3805029327122
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115053048363662,51.3805029327122
101,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.107844986065066,51.3805029327122
102,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,-0.10063692376647,51.3805029327122
103,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,-0.0934288614678747,51.3805029327122
104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-0.0862207991692789,51.3805029327122
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0790127368706831,51.3805029327122
106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0645966122734915,51.3805029327122
107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0718046745720873,51.3805029327122
108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0501804876763,51.3805029327122
109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0429724253777042,51.3805029327122
110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0573885499748958,51.3805029327122
